1	Power	Debuff	False	perc	100000	0	0.1	Clear Conscience			ลดพละกำลังและพลังโจมตีเป็น $H_W_BAD90%$COLOR_END	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Power	Buff	True	perc	180000000	0	100	Promo BAM Buff			เพิ่มความเจ๋งของท่านเมื่อจัดการล้ม Big-Ass Monsters ได้	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
2	Endurance	Buff	True	perc	180000000	0	100	Promo BAM Buff			เพิ่มความเจ๋งของท่านเมื่อจัดการล้ม Big-Ass Monsters ได้	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
4	Stun	Buff	True	swch	3600000	0	4	Stun Bomb	7215	Stun Bomb	เอฟเฟกต์มึนงง	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
5	Drunk1	Debuff	True	seta	100000	0	0	Non-Effect Debuff			เอกเฟกต์ดีบัฟไม่มีผล	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
6	Immune	Debuff	True	seta	100000	0	0	Damage Absolute Invincibility			ความเสียหายที่เกิดขึ้นอย่างแน่นอน	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Stun	Debuff	True	seta	100000	0	5	Damage Absolute Invincibility			ความเสียหายเกิดขึ้นแค่ครึ่งเดียว	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Immune	Debuff	True	abs	100000	0	0	Damage Absolute Invincibility			ความเสียหายเกิดขึ้นแค่ครึ่งเดียว	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
8	Immune	Debuff	True	setp	100000	0	0	Damage Absolute Invincibility			ดีบัฟที่เกิดขึ้นอย่างแน่นอน	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
9	Immune	Debuff	True	8	100000	0	0	Debuff Half Invincibility			ดีบัฟที่เกิดขึ้นแค่ครึ่งเดียว	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	Immune	Debuff	True	16	100000	0	0	Damage Absolute Invincibility			การตอบโต้ที่เกิดขึ้นอย่างแน่นอน	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	StatusImmune	Debuff	True	swch	100000	0	0	Damage Absolute Invincibility			การตอบโต้ที่เกิดขึ้นอย่างแน่นอน	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	Immune	Debuff	True	26	60000	0	0	Stone Skin			หิน	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
11	StunKnockDown	Debuff	True	seta	60000	0	6	Stone Skin			หิน	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
11	StatusImmune	Debuff	True	swch	60000	0	0	Stone Skin			หิน	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
12	Immune	Debuff	True	21	10000	0	0	Vortex Prison			น้ำวน	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	StunKnockDown	Debuff	True	seta	10000	0	5	Vortex Prison			น้ำวน	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	247	Debuff	True	perc	10000	0	100	Vortex Prison			น้ำวน	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	StatusImmune	Debuff	True	swch	10000	0	0	Vortex Prison			น้ำวน	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
13	Immune	Debuff	True	20	60000	0	0	Epiphany of the Goddess			เทพธิดาที่ปลดพันธนาการ	icon_skills.adventgoddess_tex	icon_skills.voidtrap_tex	True
13	StatusImmune	Debuff	True	swch	60000	0	0	Epiphany of the Goddess			เทพธิดาที่ปลดพันธนาการ	icon_skills.adventgoddess_tex	icon_skills.voidtrap_tex	True
15	OutOfCombatMovSpd	Buff	True	abs	600000	0	10	Blessing of Zenobia			ความเร็วเคลื่อนที่ เพิ่มขึ้น $H_W_GOOD10$COLOR_END เมื่อไม่ได้ต่อสู้	icon_skills.fastwalk_tex	icon_skills.fastwalk_tex	True
21	KnockDownChance	Buff	True	perc	900000	0	10	Chasing and Hunting_Reaction_Resistance Test			เพิ่มโอกาสต้านทานการตอบสนอง 10 ครั้ง	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
22	Attack	Buff	True	perc	1200000	0	1.4	Test_Increased Skill Damage			สำหรับทดสอบเท่านั้น : ค่าความเสียหายของสกิลทั้งหมด เพิ่มขึ้น 40%!	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
