1	1	[캐릭터 귀속]장인의 향초
2	1	[캐릭터 귀속]완전한 부활 주문서
3	1	[캐릭터 귀속]카이아의 뿔나팔
4	1	[캐릭터 귀속]세렌의 향수
5	1	[캐릭터 귀속]레린의 마법 붕대
6	1	[캐릭터 귀속]빛나는 의문의 부적
7	1	[캐릭터 귀속]빛나는 신비한 부적
8	1	[캐릭터 귀속]빛나는 이상한 부적
9	1	[캐릭터 귀속]군중의 환호
10	1	[캐릭터 귀속]축제의 불꽃
11	3	[캐릭터 귀속]크리스탈 - 밤피르의 보석
12	3	[캐릭터 귀속]크리스탈 - 마녀의 보석
13	0	악신의 인장
14	0	발키온 훈장
15	0	강화제
16	0	캐릭터 이름 변경권
17	3	[캐릭터 귀속]벨릭의 강물 귀걸이
18	3	[캐릭터 귀속]로크의 핏방울 목걸이
19	3	[캐릭터 귀속]세렌의 모래 반지
20	0	스킬교본: 갈색 군마 소환 I
21	0	스킬교본: 갈색 군마 소환 II
22	1	구리 인장
23	1	청동 인장
24	1	황동 인장
25	1	순은 인장
26	1	장인의 향초
27	1	완전한 부활 주문서
28	1	카이아의 뿔나팔
29	1	세렌의 향수
30	1	레린의 마법 붕대
31	1	빛나는 의문의 부적
32	1	빛나는 신비한 부적
33	1	빛나는 이상한 부적
34	1	군중의 환호
35	1	축제의 불꽃
36	3	크리스탈 - 밤피르의 보석
37	3	크리스탈 - 마녀의 보석
38	3	벨릭의 강물 귀걸이
39	3	로크의 핏방울 목걸이
40	3	세렌의 모래 반지
41	0	스킬교본: 백색 군마 소환
42	0	[캐릭터 귀속]스킬교본: 백색 군마 소환
43	1	[캐릭터 귀속]벨리카 요리명인의 수제 떡만두국
44	1	벨리카 요리명인의 수제 떡만두국
45	1	동성 무공훈장
46	1	은성 무공훈장
47	1	금성 무공훈장
50	0	서약의 반지
51	0	1등급 유기농 당근
52	1	빛나는 단련의 가루
53	1	축복받은 단련의 가루
54	1	역병의 정수
55	1	시련의 구슬
56	1	사념의 구슬
57	1	파멸의 구슬
59	0	호문쿨루스 푸키 1급 봉인석
60	0	호문쿨루스 후카 1급 봉인석
61	0	호문쿨루스 푸시캣 1급 봉인석
62	0	호문쿨루스 페이레이 1급 봉인석
63	1	호문쿨루스 푸키 2급 봉인석
64	1	호문쿨루스 후카 2급 봉인석
65	1	호문쿨루스 푸시캣 2급 봉인석
66	1	호문쿨루스 페이레이 2급 봉인석
67	2	[캐릭터 귀속]군중의 환호II
68	2	군중의 환호II
69	1	호문쿨루스 소악마 2급 봉인석
71	2	완전한 태고의 재봉인 주문서
72	0	루룬팡의 선물 교환권
73	0	요키의 선물 교환권
74	0	샤나의 선물 교환권
75	0	네피르의 선물 교환권
76	0	호문쿨루스 후카 1급 봉인석
77	0	호문쿨루스 푸시캣 1급 봉인석
78	0	호문쿨루스 페이레이 1급 봉인석
79	1	호문쿨루스 푸키 2급 봉인석
80	1	호문쿨루스 후카 2급 봉인석
81	1	호문쿨루스 푸시캣 2급 봉인석
82	1	호문쿨루스 페이레이 2급 봉인석
83	2	호문쿨루스 푸키 3급 봉인석
84	2	호문쿨루스 후카 3급 봉인석
85	2	호문쿨루스 푸시캣 3급 봉인석
86	2	호문쿨루스 페이레이 3급 봉인석
87	3	호문쿨루스 푸키 4급 봉인석
88	3	호문쿨루스 후카 4급 봉인석
89	0	오래된 판도라의 상자
91	0	일반 봉인 해제 주문서
92	1	태고의 봉인 해제 주문서
93	0	일반 재봉인 주문서
94	1	태고의 재봉인 주문서
95	0	오브: 판매대행/구매대행
96	0	오브: 판매대행
97	0	오브: 구매대행
98	0	모닥불
99	0	장작
100	0	오래된 판도라의 상자
101	0	오래된 판도라의 상자
102	0	오래된 판도라의 상자
103	2	신성한 보호의 물약
104	3	[캐릭터 귀속]벨릭의 혈석 목걸이
105	3	벨릭의 혈석 목걸이
106	3	[캐릭터 귀속]샤칸의 혈석 목걸이
107	3	샤칸의 혈석 목걸이
111	1	지속성 회복 물약
112	1	연합 보급품: 회복 물약
113	1	연합 보급품: 공격력 강화 시약
114	2	연합 보급품: 급속 회복 물약
115	0	마석
116	1	급속 회복 물약
117	2	연합 보급품: 완전한 전투 활력의 성수
118	0	급속 성장 물약
119	0	HP 회복 시약
120	0	MP 회복 시약
121	0	공격력 강화 시약
122	0	방어력 강화 시약
123	0	투지의 시약
124	0	근성의 시약
125	0	붕대 I
