1	Power	0	0	perc	100000	0	0.1	Clear Conscience			Decreases Power and Attack to 90%.	icon_skills.voidtrap_tex
2	Power	0	0	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex
2	Endurance	0	0	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex
22	Attack	0	0	perc	1200000	0	1.4	Test_Increased Skill Damage			Test only: Increases all skill damage by 40%!	icon_skills.voidtrap_tex
23	CritChance	0	0	abs	60000	0	1	Automatic Critical Hits			All your attacks are critical hits. Test Only	
25	MPChange	0	0.5	perc	0	1	0.5	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
25	CDR	0	0	swch	0	0	0.2	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
26	MPChange	0	0.5	perc	0	1	0.5	Ultra-Hyper-Fire-Turbo Time			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
26	CDR	0	0	swch	0	0	0.2	Ultra-Hyper-Fire-Turbo Time			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
27	MPChange	0	0.5	perc	0	1	0.5	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
27	CDR	0	0	swch	0	0	0.2	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
28	MPChange	0	0.5	perc	7200000	1	0.5	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
28	CDR	0	0	swch	7200000	0	0.2	T.E.R.A. TIME			Feel the fever! Decreases all skill cooldowns except for alliance skills by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
30	MaxHP	0	0	perc	0	0	1.1	Blessing of Amarun			Increases maximum HP for the first venture into the dungeon.	icon_skills.heart_buff_tex
31	Power	0	0	perc	7200000	0	1.2	T.E.R.A. TIME Season 2			Engage in spectacular battles! Increases Power by 20%, and significantly increases Attack Speed.	icon_status.buff_of_kaia_tex
31	ASpd	0	0	perc	7200000	0	1.12	T.E.R.A. TIME Season 2			Engage in spectacular battles! Increases Power by 20%, and significantly increases Attack Speed.	icon_status.buff_of_kaia_tex
33	MPChange	0	0.5	perc	0	1	0.5	Ultra-Hyper-Fire-Turbo Time			Feel the fever! Decreases all skill cooldowns by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
33	CDR	0	0	perc	0	0	0.2	Ultra-Hyper-Fire-Turbo Time			Feel the fever! Decreases all skill cooldowns by 80%. Greatly increases MP replenishment. Is not active while in dungeons or battlegrounds.	icon_status.pluswill_tex
34	MaxHP	0	0	perc	0	0	1.1	Blessing of Amarun			Increases maximum HP for the first venture into the dungeon.	icon_skills.heart_buff_tex
