21000	緊急迴避	20100	icon_skills.tumbling_tex	神速紋章	icon_crest.e_crestactiveattackspeedup_tex	以30%的機率，在10秒內增加15%攻擊速度的效果。
21001	起身攻擊	130100	icon_skills.risingattack_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 20% 
21002	迴避攻擊	100100	icon_skills.evasionattack_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 30% 
21003	腳踝狙擊	140100	icon_skills.aimingankle_tex	測試	icon_skills.voidtrap_tex	無效果
21004	連續攻擊	10100	icon_skills.comboattack_tex	野獸紋章	icon_crest.e_crestpassiveaggroup_tex	額外獲得仇恨值 5% 
21005	挑撥亂舞	30100	icon_skills.nanmu_tex	野獸紋章	icon_crest.e_crestpassiveaggroup_tex	額外獲得仇恨值 20% 
21006	旋風擊	40100	icon_skills.pointattack_tex	鬥志紋章	icon_crest.e_crestpassiveattackup_tex	技能威力增加 25% 
21007	向下劈擊	120100	icon_skills.downblowattack_tex	鬥志紋章	icon_crest.e_crestpassiveattackup_tex	技能威力增加 25% 
21008	猛毒一擊	110100	icon_skills.poisonblowattack_tex	決心紋章	icon_crest.e_crestpassiveskilleffectup_tex	猛毒持續傷害增加 15%
21009	鋼鐵決心	90100	icon_skills.ironwillb_tex	決心紋章	icon_crest.e_crestpassiveskilleffectup_tex	抗打效果增加 10% 
21010	起身攻擊	130100	icon_skills.risingattack_tex	鬥志紋章	icon_crest.e_crestpassiveattackup_tex	技能威力增加 25% 
21011	挑撥亂舞	30100	icon_skills.nanmu_tex	連續 精神紋章 [旋風擊]	icon_crest.e_crestnextskillmpdown_tex	以連續技能使用旋風擊時，MP消耗減少 88。
21012	起身攻擊	130100	icon_skills.risingattack_tex	連續 精神紋章 [向下劈擊]	icon_crest.e_crestnextskillmpdown_tex	以連續技能使用向下劈擊時，MP消耗減少 75。
21013	連續攻擊	10100	icon_skills.comboattack_tex	精神紋章	icon_crest.e_crestpassivemprecoveryup_tex	擊中時，MP恢復量增加 35%。 
21014	迴避攻擊	100100	icon_skills.evasionattack_tex	神速紋章	icon_crest.e_crestactiveattackspeedup_tex	以50%的機率，在10秒內增加15%攻擊速度的效果。
21015	緊急迴避	20100	icon_skills.tumbling_tex	集中紋章	icon_crest.e_crestactivecooltimereset_tex	減少消耗ST 100
21016	衝擊吶喊	50100	icon_skills.thunderingroar_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 20% 
21017	旋風擊	40100	icon_skills.pointattack_tex	特質紋章	icon_crest.e_crestpassivehpheal_tex	每當攻擊成功時，立即恢復0.5%的HP。
21018	鬥志一擊	180100	icon_skills.aggravatingstrike_tex	特質紋章	icon_crest.e_crestpassivehpdown_tex	HP消耗減少 50% 
21019	旋風砍擊	170100	icon_skills.allroundslash_tex	鬥志紋章	icon_crest.e_crestpassiveattackup_tex	技能威力增加 25% 
21020	突進砍擊	160100	icon_skills.rushingslash_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 25% 
21021	威脅決心			測試	icon_skills.voidtrap_tex	無效果
21022	特質連打	190100	icon_skills.tenaciousattack_tex	集中紋章	icon_crest.e_crestactivecooltimereset_tex	以25%的機率，立即結束冷卻時間。
21023	影分身	240100	icon_skills.decoy_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 20% 
21024	後擒術	220100	icon_skills.backattack_tex	時間紋章	icon_crest.e_crestpassivedurationup_tex	效果持續時間延長 50% 
21025	必殺意志	200100	icon_skills.deadlywill_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 25% 
21026	反擊震懾	230100	icon_skills.reversalturningattack_tex	鬥志紋章	icon_crest.e_crestpassiveattackup_tex	技能威力增加 25% 
21027	強襲砍擊	210100	icon_skills.hardslash_tex	精神紋章	icon_crest.e_crestpassivempdown_tex	MP消耗減少 88 
21028	鬥志一擊	180100	icon_skills.aggravatingstrike_tex	連續 鬥志紋章 [特質連打]	icon_crest.e_crestnextskillattackup_tex	以連續技能使用特質連打時，技能威力增加 20% 
21029	突進砍擊	160100	icon_skills.rushingslash_tex	連續 精神紋章 [猛毒一擊]	icon_crest.e_crestnextskillmpdown_tex	以連續技能使用猛毒一擊時，MP消耗減少 50。
21030	強襲砍擊	210100	icon_skills.hardslash_tex	連續 精神紋章 [旋風擊]	icon_crest.e_crestnextskillmpdown_tex	以連續技能使用旋風擊時，MP消耗減少 88。
21031	強襲砍擊	210100	icon_skills.hardslash_tex	連續 鬥志紋章 [旋風擊]	icon_crest.e_crestnextskillattackup_tex	以連續技能使用旋風擊時，技能威力增加 20% 
21032	強襲砍擊	210100	icon_skills.hardslash_tex	集中紋章	icon_crest.e_crestactivecooltimereset_tex	冷卻時間減少 25% 
21033	特質連打	190100	icon_skills.tenaciousattack_tex	減速紋章	icon_crest.e_crestactiveattackspeeddown_tex	在7秒間以10% %機率誘發攻速15%減少效果
21034	挑撥亂舞	30100	icon_skills.nanmu_tex	慵懶紋章	icon_crest.e_crestactivespeeddown_tex	以25%的機率，讓對象在4秒內無法移動。
21035	突進砍擊	160100	icon_skills.rushingslash_tex	連續 鬥志紋章 [鬥志一擊]	icon_crest.e_crestnextskillattackup_tex	以連續技能使用鬥志一擊時，技能威力增加 20%。
21036	後擒術	220100	icon_skills.backattack_tex	集中紋章	icon_crest.e_crestpassivecooltimedown_tex	冷卻時間減少 25% 
21037	反擊震懾	230100	icon_skills.reversalturningattack_tex	時間紋章	icon_crest.e_crestpassivedurationup_tex	效果持續時間延長 50% 
21038	反擊震懾	230100	icon_skills.reversalturningattack_tex	集中紋章	icon_crest.e_crestactivecooltimereset_tex	冷卻時間減少 20% 
21039	連續攻擊	10100	icon_skills.comboattack_tex	昏厥紋章	icon_crest.e_crestactivestun_tex	以5%的機率，讓對象在2秒內觸發昏厥的效果。
21040	衝擊吶喊	50100	icon_skills.thunderingroar_tex	神速紋章	icon_crest.e_crestpassiveskillspeedup_tex	施展速度上升 50% 
21041	衝擊吶喊	50100	icon_skills.thunderingroar_tex	貫通紋章	icon_crest.e_crestpassivethorns_tex	效果套用機率增加 10% 
21042	衝擊吶喊	50100	icon_skills.thunderingroar_tex	野獸紋章	icon_crest.e_crestpassiveaggroup_tex	額外獲得仇恨值 100% 
21043	鬥志一擊	180100	icon_skills.aggravatingstrike_tex	時間紋章	icon_crest.e_crestpassivedurationup_tex	效果持續時間延長 50% 
21044	鬥志一擊	180100	icon_skills.aggravatingstrike_tex	連續 鬥志紋章 [向下劈擊]	icon_crest.e_crestnextskillattackup_tex	以連續技能使用向下劈擊時，技能威力增加 35%。 
21045	旋風砍擊	170100	icon_skills.allroundslash_tex	集中紋章	icon_crest.e_crestactivecooltimereset_tex	以30%的機率，立即結束冷卻時間。
21046	緊急迴避	20100	icon_skills.tumbling_tex	連續 特質紋章 [猛毒一擊]	icon_crest.e_crestnextskillhpheal_tex	以連續技能擊中猛毒一擊時，立即恢復3%的HP。 
21047	迴避攻擊	100100	icon_skills.evasionattack_tex	測試	icon_skills.voidtrap_tex	無效果
