1	icon_skills.voidtrap_tex
2	icon_skills.voidtrap_tex
22	icon_skills.voidtrap_tex
25	icon_status.pluswill_tex
26	icon_status.pluswill_tex
27	icon_status.pluswill_tex
28	icon_status.pluswill_tex
30	icon_skills.heart_buff_tex
31	icon_status.buff_of_kaia_tex
33	icon_status.pluswill_tex
34	icon_skills.heart_buff_tex
36	icon_status.buff_of_kaia_tex
37	icon_status.pluswill_tex
39	icon_status.plusecritical_tex
47	icon_skills.voidtrap_tex
201	icon_skills.attackup_tex
202	icon_skills.attackup_tex
601	icon_skills.rage_tex
602	icon_skills.rage_tex
603	icon_skills.rage_tex
902	icon_items.union_supplies5_tex
903	icon_skills.battlefield_high_ranking_tex
904	icon_skills.berserk_tex
905	icon_status.plusmp_tex
906	icon_status.plusmp_tex
907	icon_status.plusattack_tex
910	icon_items.union_supplies5_tex
911	icon_items.union_supplies5_tex
912	icon_items.union_supplies5_tex
913	icon_items.union_supplies5_tex
916	icon_items.union_supplies5_tex
920	icon_items.noctan_tex
921	icon_items.noctan_tex
922	icon_items.noctan_tex
929	icon_items.union_supplies5_tex
1130	icon_items.heartlollipop_tex
1131	icon_items.heartchocolate_tex
1133	icon_items.heartlollipop_tex
1135	icon_status.plusfocus_tex
1150	icon_items.potion14_tex
1151	icon_items.potion14_tex
1200	icon_items.potion15_tex
1201	icon_items.potion15_tex
1250	icon_items.potion11_tex
1251	icon_items.potion11_tex
1300	icon_items.potion17_tex
1301	icon_items.potion17_tex
1350	icon_items.potion20_tex
1400	icon_items.potion8_tex
1440	icon_items.bandage1_rare_tex
1441	icon_items.bandage2_rare_tex
1442	icon_items.bandage3_rare_tex
1443	icon_items.bandage4_rare_tex
1444	icon_items.bandage5_rare_tex
1445	icon_items.bandage6_rare_tex
1446	icon_items.bandage7_rare_tex
1450	icon_items.bandage1_tex
1451	icon_items.bandage2_tex
1452	icon_items.bandage3_tex
1453	icon_items.bandage4_tex
1454	icon_items.bandage5_tex
1455	icon_items.bandage6_tex
1460	icon_items.perfect_bandage_tex
1461	icon_items.ricecake_tex
1462	icon_items.candyapple_tex
1490	icon_items.potion1_tex
1491	icon_items.potion1_tex
1495	icon_status.poisonstatus_tex
1510	icon_items.potion5_tex
1530	icon_items.potion19_tex
1610	icon_items.potion1_tex
1630	icon_items.potion5_tex
1650	icon_items.artisan_potion_tex
1660	icon_items.artisan_potion_tex
1671	icon_status.plusfocus_tex
1800	icon_status.diseasedown_tex
2000	icon_status.delaympgain_tex
2010	icon_status.delaympgain_tex
2020	icon_status.delayheal_tex
2040	icon_status.pluswill_tex
2041	icon_status.pluswill_tex
2042	icon_status.pluswill_tex
2050	icon_status.battlefieldbuff02_tex
2051	icon_status.battlefieldbuff02_tex
2052	icon_status.diseaseup_tex
2054	icon_status.poisonup_tex
2055	icon_status.poisonup_tex
2056	icon_status.poisonup_tex
2057	icon_skills.refreshbless_tex
2058	icon_skills.refreshbless_tex
2059	icon_skills.refreshbless_tex
2061	icon_status.battlefieldbuff01_tex
2062	icon_items.scroll_run_speed_level_1_tex
2063	icon_status.f2p_rewardbox_tex
2065	icon_skills.slow_tex
2066	icon_status.poisonstatus_tex
2067	icon_skills.areahpgain_tex
2069	icon_status.f2p_rewardbox_tex
2070	icon_status.battlefieldbuff03_tex
2071	icon_status.battlefieldbuff03_tex
2072	icon_status.mpsuckup_tex
2073	icon_status.minusmove_tex
2075	icon_status.mpsuckup_tex
2080	icon_status.battlefieldbuff04_tex
2082	icon_status.mpsuckup_tex
2083	icon_status.battlefieldbuff04_tex
2084	icon_status.battlefieldbuff04_tex
2085	icon_status.battlefieldbuff04_tex
2097	icon_status.sealskill_tex
2099	icon_status.aura_of_regeneration_hp_tex
2100	icon_status.minusmove_tex
2101	icon_skills.refreshbless_tex
2103	icon_status.buff_of_kaia_tex
2104	icon_skills.toughspirit_tex
2500	icon_items.hp_durable_potion_level_1_tex
2501	icon_items.hp_durable_potion_level_9_tex
2502	icon_items.hp_durable_potion_level_17_tex
2503	icon_items.hp_durable_potion_level_25_tex
2504	icon_items.hp_durable_potion_level_33_tex
2505	icon_items.hp_durable_potion_level_41_tex
2506	icon_items.hp_durable_potion_level_49_tex
2507	icon_items.hp_durable_potion_level_57_tex
2508	icon_items.hp_durable_potion_level_57_tex
