1	1	None	Velika Midnight Oil
2	1	None	Bound Scroll of Full Resurrection
3	1	None	Kaia's Bound Mead
4	1	None	Seren's Bound Perfume
5	1	None	Lelyn's Bound Bandage
6	1	None	Bound Greater Onslaught Charm
7	1	None	Bound Greater Ethereal Charm
8	1	None	Bound Greater Sanguine Charm
9	1	None	Bound Cracker Confetti
10	1	None	Bound Fireworks
11	3	None	Collector's Bound Relentless Cardyl
12	3	None	Collector's Bound Cunning Cardyl
13	0	None	Seeds of Rebellion
14	0	None	Catharnach Award
15	0	None	Alkahest
16	0	None	Name Change Voucher
17	3	None	Personal City Wheel Earring
18	3	None	Personal Pioneer's Pendant
19	3	None	Personal Seren's Sand Ring
20	0	None	Riding Skill: Bay Gelding
21	0	None	Riding Skill: Fast Bay Gelding
22	1	None	Support Token
23	1	None	Progress Token
24	1	None	Dedication Token
25	1	None	Frontlines Token
26	1	None	Midnight Oil
27	1	None	Scroll of Full Resurrection
28	1	None	Kaia's Mead
29	1	None	Seren's Perfume
30	1	None	Lelyn's Bandage
31	1	None	Onslaught Charm
32	1	None	Ethereal Charm
33	1	None	Sanguine Charm
34	1	None	Cracker Confetti
35	1	None	Fireworks
36	3	None	Collector's Relentless Cardyl
37	3	None	Collector's Cunning Cardyl
38	3	Equip	City Wheel Earring
39	3	Equip	Pioneer's Pendant
40	3	Equip	Seren's Sand Ring
41	0	None	Riding Skill: Fast White Stallion
42	0	None	Personal Riding Skill: Fast White Stallion
43	1	None	Bound Symon's Stolen Soup
44	1	None	Symon's Stolen Soup
45	1	None	Cupra Ensiform
46	1	None	Argent Ensiform
47	1	None	Aurel Ensiform
50	0	None	Ring of Vows
51	0	None	Veridian Extract
52	1	None	Sturdy Alkahest
53	1	None	Retro Alkahest
54	1	None	Oxbow Badge
55	1	None	Trial Badge
56	1	None	Necrotic Badge
57	1	None	Duality Badge
59	0	None	Common Pet Pooky
60	0	None	Common Pet Tuwangi
61	0	None	Common Pet Mewy
62	0	None	Common Pet Dahlia
63	1	None	Uncommon Pet Pooky
64	1	None	Uncommon Pet Tuwangi
65	1	None	Uncommon Pet Mewy
66	1	None	Uncommon Pet Dahlia
67	2	None	[Binding] Cracker Confetti II
68	2	None	Cracker Confetti II
69	1	None	Uncommon Pet Imp
71	2	None	Master Enigmatic Scroll
72	0	None	Challenge Receipt
73	0	None	Yoki's Trinket
74	0	None	Shan's Trinket
75	0	None	Nepir's Trinket
76	0	None	Common Pet Tuwangi
77	0	None	Common Pet Mewy
78	0	None	Common Pet Dahlia
79	1	None	Uncommon Pet Pooky
80	1	None	Uncommon Pet Tuwangi
81	1	None	Uncommon Pet Mewy
82	1	None	Uncommon Pet Dahlia
83	2	None	Rare Pet Pooky
84	2	None	Rare Pet Tuwangi
85	2	None	Rare Pet Mewy
86	2	None	Rare Pet Dahlia
87	3	None	Superior Pet Pooky
88	3	None	Superior Pet Tuwangi
89	0	None	Old Engine of Crystalline Mischief
91	0	None	Common Identification Scroll
92	1	None	Intricate Identification Scroll
93	0	None	Common Enigmatic Scroll
94	1	None	Intricate Enigmatic Scroll
95	0	None	Pet Training: Buying and Selling
96	0	None	Training: Selling
97	0	None	Pet Training: Purchasing
98	0	None	Campfire
99	0	None	Firewood
100	0	None	Old Engine of Multiplicative Mischief
101	0	None	Old Engine of Crystalline Mischief
102	0	None	Old Engine of Transmogrifying Mischief
103	2	None	Holy Potion of Protection
104	3	None	[Bound] Velik's Bloodstone Necklace
105	3	Equip	Velik's Bloodstone Necklace
106	3	None	[Bound] Shakan's Bloodstone Necklace
107	3	Equip	Shakan's Bloodstone Necklace
111	1	None	Rejuvenation Potion
112	1	None	Valiant Potion
113	1	None	Federation Savage Draught
114	2	None	Valkyon Health Potion
115	0	None	Manacache
116	1	None	Health Potion
117	2	None	Battle Panacea
118	0	None	Potion of Cultural Opportunity
119	0	None	Vigorous Renewal Draught
120	0	None	Infused Renewal Draught
121	0	None	Powerful Savage Draught
122	0	None	Tenacious Savage Draught
123	0	None	Powerful Rival Draught
124	0	None	Tenacious Rival Draught
125	0	None	Keener's Bandage
126	0	None	Verdra Bandage
127	0	None	Sylva Bandage
128	0	None	Shetla Bandage
129	1	None	Arunic Panacea
130	1	None	Divine Infusion
131	3	None	Lok's Eye
132	3	Equip	Shakan's Claw Pendant
133	0	None	Island of Dawn Teleport Scroll
134	0	None	Lumbertown Teleport Scroll
135	0	None	Crescentia Teleport Scroll
136	0	None	Popolion Teleport Scroll
137	0	None	Pora Elinu Teleport Scroll
138	0	None	Chebika Teleport Scroll
139	0	None	Tulufan Teleport Scroll
140	0	None	Cutthroat Harbor Teleport Scroll
141	0	None	Castanica Teleport Scroll
142	0	None	Balderon Teleport Scroll
143	0	None	Velika Teleport Scroll
144	0	None	Frontera Teleport Scroll
145	0	None	Tria Teleport Scroll
146	0	None	Tralion Teleport Scroll
147	0	None	Acarum Teleport Scroll
148	0	None	Bleakrock Teleport Scroll
149	0	None	Elenea Teleport Scroll
150	0	None	Unyielding Bastion Teleport Scroll
