10100	Warrior	Combo Attack I		icon_skills.comboattack_tex	10101	10102	10103
10200	Warrior	Combo Attack II		icon_skills.comboattack_tex	10201	10202	10203
10300	Warrior	Combo Attack III		icon_skills.comboattack_tex	10301	10302	10303
10400	Warrior	Combo Attack IV		icon_skills.comboattack_tex	10401	10402	10403
10500	Warrior	Combo Attack V		icon_skills.comboattack_tex	10501	10502	10503
10600	Warrior	Combo Attack VI		icon_skills.comboattack_tex	10601	10602	10603
10700	Warrior	Combo Attack VII		icon_skills.comboattack_tex	10701	10702	10703
10800	Warrior	Combo Attack VIII		icon_skills.comboattack_tex	10801	10802	10803
10900	Warrior	Combo Attack IX		icon_skills.comboattack_tex	10901	10902	10903
11000	Warrior	Combo Attack X		icon_skills.comboattack_tex	11001	11002	11003
11100	Warrior	Combo Attack XI		icon_skills.comboattack_tex	11101	11102	11103
11200	Warrior	Combo Attack XII		icon_skills.comboattack_tex	11201	11202	11203
20100	Warrior	Evasive Roll		icon_skills.tumbling_tex
30100	Warrior	Torrent of Blows I		icon_skills.nanmu_tex
30200	Warrior	Torrent of Blows II		icon_skills.nanmu_tex
30300	Warrior	Torrent of Blows III		icon_skills.nanmu_tex
30400	Warrior	Torrent of Blows IV		icon_skills.nanmu_tex
30500	Warrior	Torrent of Blows V		icon_skills.nanmu_tex
30600	Warrior	Torrent of Blows VI		icon_skills.nanmu_tex
30700	Warrior	Torrent of Blows VII		icon_skills.nanmu_tex
30800	Warrior	Torrent of Blows VIII		icon_skills.nanmu_tex
30900	Warrior	Torrent of Blows IX		icon_skills.nanmu_tex
40100	Warrior	Rain of Blows I		icon_skills.pointattack_tex	40130
40200	Warrior	Rain of Blows II		icon_skills.pointattack_tex	40230
40300	Warrior	Rain of Blows III		icon_skills.pointattack_tex	40330
40400	Warrior	Rain of Blows IV		icon_skills.pointattack_tex	40430
40500	Warrior	Rain of Blows V		icon_skills.pointattack_tex	40530
40600	Warrior	Rain of Blows VI		icon_skills.pointattack_tex	40630
40700	Warrior	Rain of Blows VII		icon_skills.pointattack_tex	40730
40800	Warrior	Rain of Blows VIII		icon_skills.pointattack_tex	40830
40900	Warrior	Rain of Blows IX		icon_skills.pointattack_tex	360100	40930
41000	Warrior	Rain of Blows X		icon_skills.pointattack_tex	41030
41100	Warrior	Rain of Blows XI		icon_skills.pointattack_tex	360100	41130
50100	Warrior	Battle Cry I		icon_skills.thunderingroar_tex
50200	Warrior	Battle Cry II		icon_skills.thunderingroar_tex
50300	Warrior	Battle Cry III		icon_skills.thunderingroar_tex
50400	Warrior	Battle Cry IV		icon_skills.thunderingroar_tex
50500	Warrior	Battle Cry V		icon_skills.thunderingroar_tex
50600	Warrior	Battle Cry VI		icon_skills.thunderingroar_tex
50700	Warrior	Battle Cry VII		icon_skills.thunderingroar_tex
50800	Warrior	Battle Cry VIII		icon_skills.thunderingroar_tex
50900	Warrior	Battle Cry IX		icon_skills.thunderingroar_tex
80100	Warrior	Assault Stance I		icon_skills.ironwilla_tex	80150
80200	Warrior	Assault Stance II		icon_skills.ironwilla_tex	80250
80300	Warrior	Assault Stance III		icon_skills.ironwilla_tex	80350
80400	Warrior	Assault Stance IV		icon_skills.ironwilla_tex	80450
90100	Warrior	Defensive Stance I		icon_skills.ironwillb_tex	90150
90200	Warrior	Defensive Stance II		icon_skills.ironwillb_tex	90250
100100	Warrior	Death From Above I		icon_skills.evasionattack_tex
100200	Warrior	Death From Above II		icon_skills.evasionattack_tex
100300	Warrior	Death From Above III		icon_skills.evasionattack_tex
100400	Warrior	Death From Above IV		icon_skills.evasionattack_tex
100500	Warrior	Death From Above V		icon_skills.evasionattack_tex
100600	Warrior	Death From Above VI		icon_skills.evasionattack_tex
100700	Warrior	Death From Above VII		icon_skills.evasionattack_tex
110100	Warrior	Poison Blade I		icon_skills.poisonblowattack_tex
110200	Warrior	Poison Blade II		icon_skills.poisonblowattack_tex
110300	Warrior	Poison Blade III		icon_skills.poisonblowattack_tex
110400	Warrior	Poison Blade IV		icon_skills.poisonblowattack_tex
110500	Warrior	Poison Blade V		icon_skills.poisonblowattack_tex
110600	Warrior	Poison Blade VI		icon_skills.poisonblowattack_tex
110700	Warrior	Poison Blade VII		icon_skills.poisonblowattack_tex
110800	Warrior	Poison Blade VIII		icon_skills.poisonblowattack_tex
110900	Warrior	Poison Blade IX		icon_skills.poisonblowattack_tex
111000	Warrior	Poison Blade X		icon_skills.poisonblowattack_tex
111100	Warrior	Poison Blade XI		icon_skills.poisonblowattack_tex	111182	111183
120100	Warrior	Leaping Strike I		icon_skills.downblowattack_tex
120200	Warrior	Leaping Strike II		icon_skills.downblowattack_tex
120300	Warrior	Leaping Strike III		icon_skills.downblowattack_tex
120400	Warrior	Leaping Strike IV		icon_skills.downblowattack_tex
120500	Warrior	Leaping Strike V		icon_skills.downblowattack_tex
120600	Warrior	Leaping Strike VI		icon_skills.downblowattack_tex
120700	Warrior	Leaping Strike VII		icon_skills.downblowattack_tex
120800	Warrior	Leaping Strike VIII		icon_skills.downblowattack_tex
130100	Warrior	Retaliate I		icon_skills.risingattack_tex
130200	Warrior	Retaliate II		icon_skills.risingattack_tex
130300	Warrior	Retaliate III		icon_skills.risingattack_tex
130400	Warrior	Retaliate IV		icon_skills.risingattack_tex
130500	Warrior	Retaliate V		icon_skills.risingattack_tex
130600	Warrior	Retaliate VI		icon_skills.risingattack_tex
130700	Warrior	Retaliate VII		icon_skills.risingattack_tex
130800	Warrior	Retaliate VIII		icon_skills.risingattack_tex
130900	Warrior	Retaliate IX		icon_skills.risingattack_tex
131000	Warrior	Retaliate X		icon_skills.risingattack_tex
160100	Warrior	Charging Slash I		icon_skills.rushingslash_tex	160101
160200	Warrior	Charging Slash II		icon_skills.rushingslash_tex	160201
160300	Warrior	Charging Slash III		icon_skills.rushingslash_tex	160301
160400	Warrior	Charging Slash IV		icon_skills.rushingslash_tex	160401
160500	Warrior	Charging Slash V		icon_skills.rushingslash_tex	160501
160600	Warrior	Charging Slash VI		icon_skills.rushingslash_tex	160601
160700	Warrior	Charging Slash VII		icon_skills.rushingslash_tex	160701
160800	Warrior	Charging Slash VIII		icon_skills.rushingslash_tex	160801
160900	Warrior	Charging Slash IX		icon_skills.rushingslash_tex	160901
161000	Warrior	Charging Slash X		icon_skills.rushingslash_tex	161001
170100	Warrior	Vortex Slash I		icon_skills.allroundslash_tex
170200	Warrior	Vortex Slash II		icon_skills.allroundslash_tex
170300	Warrior	Vortex Slash III		icon_skills.allroundslash_tex
170400	Warrior	Vortex Slash IV		icon_skills.allroundslash_tex
170500	Warrior	Vortex Slash V		icon_skills.allroundslash_tex
170600	Warrior	Vortex Slash VI		icon_skills.allroundslash_tex
170700	Warrior	Vortex Slash VII		icon_skills.allroundslash_tex
170800	Warrior	Vortex Slash VIII		icon_skills.allroundslash_tex
170900	Warrior	Vortex Slash IX		icon_skills.allroundslash_tex
171000	Warrior	Vortex Slash X		icon_skills.allroundslash_tex
171100	Warrior	Vortex Slash XI		icon_skills.allroundslash_tex
180100	Warrior	Combative Strike I		icon_skills.aggravatingstrike_tex
180200	Warrior	Combative Strike II		icon_skills.aggravatingstrike_tex
180300	Warrior	Combative Strike III		icon_skills.aggravatingstrike_tex
180400	Warrior	Combative Strike IV		icon_skills.aggravatingstrike_tex
180500	Warrior	Combative Strike V		icon_skills.aggravatingstrike_tex
180600	Warrior	Combative Strike VI		icon_skills.aggravatingstrike_tex
180700	Warrior	Combative Strike VII		icon_skills.aggravatingstrike_tex
180800	Warrior	Combative Strike VIII		icon_skills.aggravatingstrike_tex
180900	Warrior	Combative Strike IX		icon_skills.aggravatingstrike_tex
181000	Warrior	Combative Strike X		icon_skills.aggravatingstrike_tex
181100	Warrior	Combative Strike XI		icon_skills.aggravatingstrike_tex	181102	181101
190100	Warrior	Rising Fury I		icon_skills.tenaciousattack_tex	190101
190200	Warrior	Rising Fury II		icon_skills.tenaciousattack_tex	190201
190300	Warrior	Rising Fury III		icon_skills.tenaciousattack_tex	190301
190400	Warrior	Rising Fury IV		icon_skills.tenaciousattack_tex	190401
190500	Warrior	Rising Fury V		icon_skills.tenaciousattack_tex	190501
190600	Warrior	Rising Fury VI		icon_skills.tenaciousattack_tex	190601
190700	Warrior	Rising Fury VII		icon_skills.tenaciousattack_tex	190701
190800	Warrior	Rising Fury VIII		icon_skills.tenaciousattack_tex	190801
190900	Warrior	Rising Fury IX		icon_skills.tenaciousattack_tex	190901
191000	Warrior	Rising Fury X		icon_skills.tenaciousattack_tex	191001
191100	Warrior	Rising Fury XI		icon_skills.tenaciousattack_tex	191101
200100	Warrior	Deadly Gamble I		icon_skills.deadlywill_tex
200200	Warrior	Deadly Gamble II		icon_skills.deadlywill_tex
210100	Warrior	Cascade of Stuns I		icon_skills.hardslash_tex
210200	Warrior	Cascade of Stuns II		icon_skills.hardslash_tex
210300	Warrior	Cascade of Stuns III		icon_skills.hardslash_tex
210400	Warrior	Cascade of Stuns IV		icon_skills.hardslash_tex
210500	Warrior	Cascade of Stuns V		icon_skills.hardslash_tex
220100	Warrior	Backstab I		icon_skills.backattack_tex
220200	Warrior	Backstab II		icon_skills.backattack_tex
230100	Warrior	Spinning Counter I		icon_skills.reversalturningattack_tex
230200	Warrior	Spinning Counter II		icon_skills.reversalturningattack_tex
230300	Warrior	Spinning Counter III		icon_skills.reversalturningattack_tex
230400	Warrior	Spinning Counter IV		icon_skills.reversalturningattack_tex
230500	Warrior	Spinning Counter V		icon_skills.reversalturningattack_tex
230600	Warrior	Spinning Counter VI		icon_skills.reversalturningattack_tex
240100	Warrior	Smoke Aggressor I		icon_skills.decoy_tex
240200	Warrior	Smoke Aggressor II		icon_skills.decoy_tex
240300	Warrior	Smoke Aggressor III		icon_skills.decoy_tex
240400	Warrior	Smoke Aggressor IV		icon_skills.decoy_tex
240500	Warrior	Smoke Aggressor V		icon_skills.decoy_tex
240600	Warrior	Smoke Aggressor VI		icon_skills.decoy_tex
240700	Warrior	Smoke Aggressor VII		icon_skills.decoy_tex
240800	Warrior	Smoke Aggressor VIII		icon_skills.decoy_tex
240900	Warrior	Smoke Aggressor IX		icon_skills.decoy_tex
250100	Warrior	Command: Attack		icon_skills.petorderattack_tex
260100	Warrior	Command: Follow		icon_skills.petorderfollowme_tex
270100	Warrior	Pounce I		icon_skills.heavybite_tex
270200	Warrior	Pounce II		icon_skills.heavybite_tex
270300	Warrior	Pounce III		icon_skills.heavybite_tex
270400	Warrior	Pounce IV		icon_skills.heavybite_tex
270500	Warrior	Pounce V		icon_skills.heavybite_tex
270600	Warrior	Pounce VI		icon_skills.heavybite_tex
270700	Warrior	Pounce VII		icon_skills.heavybite_tex
270800	Warrior	Pounce VIII		icon_skills.heavybite_tex
280100	Warrior	Traverse Cut I		icon_skills.dualrapidpiercing_tex	280130
280200	Warrior	Traverse Cut II		icon_skills.dualrapidpiercing_tex	280230
280300	Warrior	Traverse Cut III		icon_skills.dualrapidpiercing_tex	280330
280400	Warrior	Traverse Cut IV		icon_skills.dualrapidpiercing_tex	280430
280500	Warrior	Traverse Cut V		icon_skills.dualrapidpiercing_tex	280530
280600	Warrior	Traverse Cut VI		icon_skills.dualrapidpiercing_tex	280630
280700	Warrior	Traverse Cut VII		icon_skills.dualrapidpiercing_tex	280730
280800	Warrior	Traverse Cut VIII		icon_skills.dualrapidpiercing_tex	280830
280900	Warrior	Traverse Cut IX		icon_skills.dualrapidpiercing_tex	280930
281000	Warrior	Traverse Cut X		icon_skills.dualrapidpiercing_tex	390100	281030
290100	Warrior	Blade Draw I		icon_skills.dualslash_tex	290130
290200	Warrior	Blade Draw II		icon_skills.dualslash_tex	290230
290300	Warrior	Blade Draw III		icon_skills.dualslash_tex	290330
290400	Warrior	Blade Draw IV		icon_skills.dualslash_tex	290430
290500	Warrior	Blade Draw V		icon_skills.dualslash_tex	290530
290600	Warrior	Blade Draw VI		icon_skills.dualslash_tex	290630
290700	Warrior	Blade Draw VII		icon_skills.dualslash_tex	290730
290800	Warrior	Blade Draw VIII		icon_skills.dualslash_tex	290830
290900	Warrior	Blade Draw IX		icon_skills.dualslash_tex	370100	290930
300100	Warrior	Scythe I		icon_skills.raker_tex	300130
300200	Warrior	Scythe II		icon_skills.raker_tex	300230
300300	Warrior	Scythe III		icon_skills.raker_tex	300330
300400	Warrior	Scythe IV		icon_skills.raker_tex	300430
300500	Warrior	Scythe V		icon_skills.raker_tex	300530
300600	Warrior	Scythe VI		icon_skills.raker_tex	300630
300700	Warrior	Scythe VII		icon_skills.raker_tex	300730
300800	Warrior	Scythe VIII		icon_skills.raker_tex	300830
300900	Warrior	Scythe IX		icon_skills.raker_tex	380100	300930
310100	Warrior	Reaping Slash I		icon_skills.rupture_tex	310130
310200	Warrior	Reaping Slash II		icon_skills.rupture_tex	310230
310300	Warrior	Reaping Slash III		icon_skills.rupture_tex	310330
310400	Warrior	Reaping Slash IV		icon_skills.rupture_tex	310430
310500	Warrior	Reaping Slash V		icon_skills.rupture_tex	310530
310600	Warrior	Reaping Slash VI		icon_skills.rupture_tex	310630
310700	Warrior	Reaping Slash VII		icon_skills.rupture_tex	310730
310800	Warrior	Reaping Slash VIII		icon_skills.rupture_tex	310830
310900	Warrior	Reaping Slash IX		icon_skills.rupture_tex	310930
320100	Warrior	Cross Parry		icon_skills.twinswordsdefence_tex
330100	Warrior	Smoke Flanker I		icon_skills.shadowchange_tex
330200	Warrior	Smoke Flanker II		icon_skills.shadowchange_tex
